,Text
69,"@NewsAccuse @wheeldon @taxlosstrades @BluestarAir4 @longhorncapital Oh, ffs. You want to accuse one of Putin's detr… https://t.co/SIm5rD7zVa"
70,"@NewsAccuse @wheeldon @taxlosstrades @BluestarAir4 @longhorncapital Oh, the Putin hacks are into my twitter feed."
71,"@wheeldon @taxlosstrades @BluestarAir4 @longhorncapital this confirms...

https://t.co/Rlo5zP49fI"
72,@wheeldon @taxlosstrades @BluestarAir4 @longhorncapital Well done. I would not have worked it out.
73,@patssoxcelts74 Yes he did.  But more realistically he cheated and won against competitors who were all juiced up.… https://t.co/bYBqhnTx0L
74,@taxlosstrades @longhorncapital Worldcom.
75,RT @John_Hempton: Nothing notable except this one is signed by Robin Williams. https://t.co/v9QVTga0xK
76,Nothing notable except this one is signed by Robin Williams. https://t.co/v9QVTga0xK
77,Cleaning the house I find a tacky fan handed out when I had tickets for the finishing stand at the Tour de France i… https://t.co/FW1kl3N4nJ
78,"@peony_king go bankrupt, default on the debt, keep the firearms. Bankruptcy arbitrage."
79,"@AsennaWealth OMG - the old Blue Sky investment.

Never became the billion dollar chain.

https://t.co/PkDKVU2aU8"
80,RT @Keubiko: . @joesquawk blocked me for this.   Must have hit too close to the mark? https://t.co/XEvPOVGFOQ
81,@MicawberCapital yes. The $MO example where the stock traded at dicounts for decades whilst the company bought back is instructive.
82,@MicawberCapital the latter.
83,@williameburns13 @88888sAccount The two uses have the same etymology.
84,@money_makah No.
85,@Oval54 They are no longer creditors after the court stamps the bankruptcy filing.
86,"Researching a subprime financial. Reading bankruptcy filings where they are listed as a creditor.

These filings ha… https://t.co/vWRDEQStJa"
87,@eadatt The reverse is often true for me. I give up on a short only to watch it drop 90 percent in the next two months.
88,"@WineRex Lurks at number one on this list.

https://t.co/r9jNIbKE7o

And is well placed."
89,"@WineRex Not only the lyrics. The album is Ys - which lurks at number one on my favourite albums of all time.

On a… https://t.co/hA1yQwv5mN"
90,"Follow me my sweetest friend...

(and I know this is an acquired taste...)

https://t.co/d4FSGbLVpm"
91,RT @BagholderQuotes: “Turns out $LK was not quite done with my butthole!!!” https://t.co/SGdSngxTFH
92,@MPunchy @jausty19 Tupperware is finally going to zero. The product is not relevant.
93,@ajk13116973 @JTSEO9 @CliffordAsness Blocked
94,"RT @edengillespie: If we're shutting down, we're doing it with style. @10Daily https://t.co/WKrDz0ckef"
95,"@CliffordAsness NASA posited an alternative universe where time ran backwards.

I guess that makes shorting make more sense."
96,@BrianLaRoux @simonahac @AngusTaylorMP Bah - the data was far better from TomTom.
97,@simonahac @AngusTaylorMP Can you imagine how fantastic a business Melways was before it got destroyed? Melboure pe… https://t.co/Tcr0GuxDBH
98,"@Trumpery45 @MotherCabriniNY It is an MLM.

Most MLMs are scams.

But it is an illogical extension to believe all M… https://t.co/asz4aXBheV"
99,"@CliffordAsness You mean you haven't blocked him and he has not blocked you prior.

He blocks everyone.

And you br… https://t.co/RtLeITvZln"
100,"@god_debelle And I cannot object to the absence of predictions because I do not have an effing clue.

2/2"
101,@god_debelle In what way has he misread the room. All this says is that this does not look structurally like the pa… https://t.co/C9ZHfyStv3
102,"@jausty19 I did say on record that I would rather hang out with drug dealers and prostitutes than Bill Ackman.

Hap… https://t.co/VbzeY2Qzoa"
103,"@jausty19 I own $100m of the stock.

I bought it because I believe what I say and think that the company will be wo… https://t.co/1rSZzOCMyx"
104,"@AsennaWealth Well yes.

I will do buy low and hold forever if the company warrants it. Most companies do not."
105,@timqfadvice That is a lovely thread. Involving a Huawei router and the (ab)use of an aerial.
106,"@roboco23 @TheTweetOfGod The Babel Fish argument.

Are you going to prove black is white and get yourself killed at the next zebra crossing?"
107,@Ripyourface Swedish Match. MTU Aeroengines if you are brave.
108,"@Ripyourface Protein shake diets work as well as any. I promise you there is a hump. Hard to do, feel bad, feel muc… https://t.co/O920gQlDWL"
109,@Ripyourface The product is a good product. It sells well too.
110,"Has @TheTweetOfGod replied yet, or would he prefer remain the largest unverified account on Twitter, or just unveri… https://t.co/4ZnaG90tBb"
111,@kingzimmerman au contraire. Lockdown has been pretty good. Check volume points sold.
112,"@Ripyourface cash flow is up. Business is strong.

Can I interest you in a zoom based nutrition club?"
113,@Biohazard3737 I made that mistake. They are so good you need to ration them.
114,"@MotherCabriniNY Yeah, I immediately offered them a zoom based nutrition club."
115,@JonesBios I sort of hope so. It could not happen to a nicer person.
116,Reading the tweet stream re the Herbalife bond offering I am (still) amazed how far my views on $HLF are from the c… https://t.co/hUM0ahwong
117,"@SOGMeister @anthonypesec oh yes it does. I have seen plenty of scams, very well targeted on Facebook."
118,@Biohazard3737 the oracle is as good as advertised.
119,"@KCartero @Clifton_Capital @Herbalife omg, stupid. look at the results carefully."
120,@Clifton_Capital @Herbalife I own the stock in quantity and have no problem with it.
121,@YwanC @PostApolcalypto @JosephNWalker age and politics are both predictors amongst my friends.
122,@PostApolcalypto @JosephNWalker You have a position closer to most my right wing friends. But my most right-wing fr… https://t.co/oPbKPJxF3V
123,@misha_saul @Jeppo888 @AsennaWealth Church Point if you can handle the location is sort of maximum harbour waterfro… https://t.co/X6TaCGxv9s
124,@Jeppo888 @AsennaWealth agree! Which is why I am selling.
125,@AsennaWealth I got a nice house for sale. You would get on great with the neighbours.
126,@AsennaWealth The rocks over Tamarama. My old haunt was the reef below. Haven't swum there over two years now though.
127,RT @JosephNWalker: The goes for everybody by the way. And I’m not stating which mix of policy responses I think is best. Just saying we sho…
128,RT @JosephNWalker: If your opinion on the most appropriate policy response to the pandemic perfectly matches your ideological priors it’s t…
129,@tnewtondunn @jdportes Moreover if you were at all familiar with the economics of the alcohol industry (and they wa… https://t.co/6ixBroLVsS
130,@tnewtondunn @jdportes It wasn't a typo. You confused half litre with hectolitre. It was an error.
131,"@cleverhedge Well yes. The credit rating they are pricing it on is two-to-three notches too low.

But the stock is… https://t.co/EDFidBBIlW"
132,@opinion_joe @tracyalloway @PSeligson Why? Their cash flow is up. They can afford it.
133,"@bush_bushy1961 @ClubeGaffer The Howard Government was fiscally responsible for the first four years.

Then came th… https://t.co/x4KZbGrgeK"
134,@slapdash__ @MaglanCapital According to their website &gt;15m of the money was internal. They clearly had more than $3… https://t.co/bBFq5eBghj
135,@slapdash__ @MaglanCapital At peak they owned 7 percent of Fairpoint Communications (a win - it was sold) and it ha… https://t.co/vd2MBowASL
136,"@slapdash__ @MaglanCapital Gosh, I remember 13x that. Maybe it was all bluster."
137,"@lisaabramowicz1 @PSeligson @TheTerminal I bet it yields well under 8 percent. But whatever.

J"
138,@CapitalObserver @Negative_GW @PalmettoCapital The concession you give is for a longer lease.
139,Tweet of the day. https://t.co/XqRfQ9JoR2
140,"RT @ArifHozef: BREAKING: “New study shows remdesivir when mixed w moderna and HCQ can cure high yield bond defaults, experts say”"
141,At peak how much did @MaglanCapital manage?
142,@Negative_GW @CapitalObserver @PalmettoCapital I think it depends also on bargaining power. SBUX has some.
